#,app_id,app_name,review_id,language_id,language_name,time_id,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,vote_score,comment_count,acquisition_id,steam_purchase,steam_gifted,written_during_beta,author_id,author_num_games_owned,author_num_reviews,author_playtime,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
430,292030,The Witcher 3: Wild Hunt,85098627,2887,english,3894,1611250111,1611250111,True,0,0,0.0,0,5001,True,False,False,765612,20,1,1375,1375,1373,1611250312
436,292030,The Witcher 3: Wild Hunt,85098209,2887,english,8282,1611249610,1611249610,True,0,0,0.0,0,5001,True,False,False,765612,529,11,2296,1507,2296,1611249525
437,292030,The Witcher 3: Wild Hunt,85098056,2887,english,5650,1611249400,1611249400,True,0,0,0.0,0,5001,True,False,False,765612,3,1,714,48,712,1611286999
444,292030,The Witcher 3: Wild Hunt,85096942,2887,english,5366,1611247931,1611247931,True,0,0,0.0,0,5001,True,False,False,765612,2,1,7685,4326,7465,1611338305
459,292030,The Witcher 3: Wild Hunt,85094427,2887,english,8308,1611244695,1611244695,True,0,0,0.0,0,5001,True,False,False,765612,3,1,2886,2780,2386,1611365573
462,292030,The Witcher 3: Wild Hunt,85093819,2887,english,7888,1611243966,1611243966,True,0,0,0.0,0,5001,True,False,False,765612,62,3,15187,317,15009,1611335285
478,292030,The Witcher 3: Wild Hunt,85089934,2887,english,4788,1611239085,1611239085,True,0,0,0.0,0,5001,True,False,False,765612,202,34,17930,2698,17561,1611357714
489,292030,The Witcher 3: Wild Hunt,85088449,2887,english,4835,1611235252,1611235252,True,0,0,0.0,0,5001,True,False,False,765612,3,2,1780,1780,1088,1611369609
490,292030,The Witcher 3: Wild Hunt,85088419,2887,english,1127,1611235192,1611235192,True,0,0,0.0,0,5001,True,False,False,765612,43,10,9098,2132,9098,1611212381
492,292030,The Witcher 3: Wild Hunt,85088338,2887,english,8807,1611235094,1611235094,True,0,0,0.0,0,5001,True,False,False,765612,10,2,1824,551,1824,1611214287
497,292030,The Witcher 3: Wild Hunt,85087291,2887,english,8020,1611233737,1611233737,True,0,0,0.0,0,5001,True,False,False,765612,108,28,3199,2416,2624,1611357932
498,292030,The Witcher 3: Wild Hunt,85087117,2887,english,5101,1611233489,1611233668,True,0,0,0.0,0,5001,True,False,False,765612,93,10,5251,3026,5251,1611168684
500,292030,The Witcher 3: Wild Hunt,85086716,2887,english,7340,1611232911,1611232911,True,0,0,0.0,0,5001,True,False,False,765612,17,4,7476,2831,7370,1611242166
508,292030,The Witcher 3: Wild Hunt,85085597,2887,english,5711,1611231353,1611231353,True,0,0,0.0,0,5001,True,False,False,765612,94,8,3555,2791,3052,1611386657
512,292030,The Witcher 3: Wild Hunt,85085097,2887,english,4162,1611230690,1611230690,True,0,0,0.0,0,5001,True,False,False,765612,12,3,1158,1010,709,1611385296
519,292030,The Witcher 3: Wild Hunt,85082431,2887,english,5936,1611226712,1611226712,True,0,0,0.0,0,5001,True,False,False,765612,65,10,1593,1532,1312,1611259037
522,292030,The Witcher 3: Wild Hunt,85081984,2887,english,2391,1611226012,1611226012,True,0,0,0.0,0,5001,True,False,False,765612,10,1,25550,10608,25550,1611032004
526,292030,The Witcher 3: Wild Hunt,85081514,2887,english,8661,1611225268,1611225268,True,0,0,0.0,0,5001,True,False,False,765612,31,2,3939,317,3919,1611325200
531,292030,The Witcher 3: Wild Hunt,85080597,2887,english,1463,1611223874,1611223874,True,0,0,0.0,0,5001,True,False,False,765612,190,6,5761,4,5761,1610736629
540,292030,The Witcher 3: Wild Hunt,85079013,2887,english,5664,1611221380,1611221380,True,0,0,0.0,0,5001,True,False,False,765612,94,2,9984,25,9958,1611223005
543,292030,The Witcher 3: Wild Hunt,85078333,2887,english,6723,1611220353,1611220353,True,0,0,0.0,0,5001,True,False,False,765612,65,2,17865,101,17763,1611232411
546,292030,The Witcher 3: Wild Hunt,85078116,2887,english,7552,1611219944,1611219944,True,0,0,0.0,0,5001,True,False,False,765612,317,10,2721,1897,2301,1611387863
547,292030,The Witcher 3: Wild Hunt,85077663,2887,english,1366,1611219404,1611219404,True,0,0,0.0,0,5001,True,False,False,765612,16,1,2380,1294,1690,1611356782
550,292030,The Witcher 3: Wild Hunt,85076956,2887,english,1190,1611218184,1611218184,True,0,0,0.0,0,5001,True,False,False,765612,16,4,9709,3419,9709,1611217799
553,292030,The Witcher 3: Wild Hunt,85076565,2887,english,5043,1611217778,1611217778,True,0,0,0.0,0,5001,True,False,False,765612,970,7,19334,2430,18755,1611387342
555,292030,The Witcher 3: Wild Hunt,85075742,2887,english,5826,1611216695,1611216695,True,0,0,0.0,0,5001,True,False,False,765612,204,25,12015,2582,11992,1611219108
558,292030,The Witcher 3: Wild Hunt,85075158,2887,english,4935,1611215703,1611215703,True,0,0,0.0,0,5001,True,False,False,765612,137,1,2765,2657,2133,1611385735
562,292030,The Witcher 3: Wild Hunt,85074347,2887,english,6702,1611214313,1611214313,True,0,0,0.0,0,5001,True,False,False,765612,25,4,519,481,516,1611253122
566,292030,The Witcher 3: Wild Hunt,85073437,2887,english,3980,1611212637,1611212637,True,0,0,0.0,0,5001,True,False,False,765612,30,1,10565,0,10565,1609933408
567,292030,The Witcher 3: Wild Hunt,85073408,2887,english,3487,1611212586,1611212856,True,0,0,0.0,0,5001,True,False,False,765612,51,3,8691,0,8691,1594364688
572,292030,The Witcher 3: Wild Hunt,85071987,2887,english,4485,1611209728,1611209728,True,0,0,0.0,0,5001,True,False,False,765612,11,6,8040,4022,8040,1611182589
575,292030,The Witcher 3: Wild Hunt,85071342,2887,english,5302,1611208412,1611208412,True,0,0,0.0,0,5001,True,False,False,765612,102,10,7624,3226,6765,1611334807
578,292030,The Witcher 3: Wild Hunt,85070516,2887,english,4240,1611206763,1611206763,True,0,0,0.0,0,5001,True,False,False,765612,144,2,10251,602,10251,1611206742
581,292030,The Witcher 3: Wild Hunt,85069586,2887,english,1748,1611204806,1611204806,True,0,0,0.0,0,5001,True,False,False,765612,11,3,1474,989,1123,1611375721
584,292030,The Witcher 3: Wild Hunt,85068669,2887,english,3558,1611202941,1611202941,True,0,0,0.0,0,5001,True,False,False,765612,35,2,7133,1318,6995,1611210777
588,292030,The Witcher 3: Wild Hunt,85067713,2887,english,6927,1611201152,1611201152,True,0,0,0.0,0,5001,True,False,False,765612,46,31,1669,0,1669,1610163754
589,292030,The Witcher 3: Wild Hunt,85067711,2887,english,7120,1611201147,1611201147,True,0,0,0.0,0,5001,True,False,False,765612,9,2,1640,1640,1353,1611297923
592,292030,The Witcher 3: Wild Hunt,85067171,2887,english,7828,1611200194,1611200194,True,0,0,0.0,0,5001,True,False,False,765612,123,24,2607,282,2324,1611378192
593,292030,The Witcher 3: Wild Hunt,85067095,1920,spanish,7987,1611200056,1611200056,True,0,0,0.0,0,5001,True,False,False,765612,34,2,3452,2440,3160,1611358029
595,292030,The Witcher 3: Wild Hunt,85066583,2887,english,7454,1611199154,1611199693,True,0,0,0.0,0,5001,True,False,False,765612,125,7,11779,726,11779,1610551243
598,292030,The Witcher 3: Wild Hunt,85066126,2887,english,1759,1611198336,1611198336,True,0,0,0.0,0,5001,True,False,False,765612,42,4,24905,3340,24121,1611385178
599,292030,The Witcher 3: Wild Hunt,85065921,2887,english,6277,1611197921,1611197921,True,0,0,0.0,0,5001,True,False,False,765612,18,2,6439,0,6439,1604537863
601,292030,The Witcher 3: Wild Hunt,85065334,2887,english,6406,1611196828,1611196828,True,0,0,0.0,0,5001,True,False,False,765612,4,1,513,497,185,1611352651
603,292030,The Witcher 3: Wild Hunt,85064995,2887,english,4194,1611196212,1611196212,True,0,0,0.0,0,5001,True,False,False,765612,36,2,2970,2970,2604,1611341071
619,292030,The Witcher 3: Wild Hunt,85061197,2887,english,3716,1611189487,1611189487,True,0,0,0.0,0,5001,True,False,False,765612,71,34,563,40,537,1611381306
621,292030,The Witcher 3: Wild Hunt,85060908,2887,english,8002,1611188944,1611188944,True,0,0,0.0,0,5001,True,False,False,765612,72,50,1333,121,1306,1611248309
622,292030,The Witcher 3: Wild Hunt,85060722,2887,english,5304,1611188564,1611188564,True,0,0,0.0,0,5001,True,False,False,765612,97,1,8286,817,8063,1611358811
623,292030,The Witcher 3: Wild Hunt,85060160,2887,english,8817,1611187480,1611187480,True,0,0,0.0,0,5001,True,False,False,765612,121,1,13740,2708,13611,1611250733
626,292030,The Witcher 3: Wild Hunt,85058919,2887,english,8210,1611185152,1611185152,True,0,0,0.0,0,5001,True,False,False,765612,33,1,6883,6,6877,1611185665
